
IS;550;150952;151937;
MS;550;2646;10052;
HS;550;546;2185;

IS;600;89342;89945;
MS;600;4796;11152;
HS;600;997;2384;

IS;600;599;1198;
MS;600;2660;11152;
HS;600;598;2382;

IS;600;179679;180752;
MS;600;2980;11152;
HS;600;596;2384;

IS;650;100845;101503;
MS;650;5269;12252;
HS;650;944;2586;

IS;650;649;1298;
MS;650;2915;12252;
HS;650;648;2582;

IS;650;210913;212078;
MS;650;3266;12252;
HS;650;649;2587;

IS;700;125162;125869;
MS;700;5747;13352;
HS;700;956;2783;

IS;700;699;1398;
MS;700;3172;13352;
HS;700;698;2778;

IS;700;244625;245875;
MS;700;3561;13352;
HS;700;697;2783;

IS;750;142395;143144;
MS;750;6214;14452;
HS;750;988;2981;

IS;750;749;1498;
MS;750;3457;14452;
HS;750;748;2976;

IS;750;280843;282173;
MS;750;3830;14452;
HS;750;746;2982;

IS;800;156285;157092;
MS;800;6747;15552;
HS;800;1137;3188;

IS;800;799;1598;
MS;800;3728;15552;
HS;800;798;3182;

IS;800;319565;320993;
MS;800;4117;15552;
HS;800;803;3192;

IS;850;181096;181952;
MS;850;7217;16652;
HS;850;1031;3384;

IS;850;849;1698;
MS;850;3993;16652;
HS;850;848;3378;

IS;850;360802;362322;
MS;850;4406;16652;
HS;850;851;3388;

IS;900;209382;210291;
MS;900;7728;17752;
HS;900;1266;3590;

IS;900;899;1798;
MS;900;4304;17752;
HS;900;898;3580;

IS;900;404509;406108;
MS;900;4662;17752;
HS;900;907;3595;

IS;950;233883;234833;
MS;950;8225;18852;
HS;950;1053;3785;

IS;950;949;1898;
MS;950;4597;18852;
HS;950;948;3774;

IS;950;450738;452437;
MS;950;4937;18852;
HS;950;954;3789;

IS;1000;241241;242246;
MS;1000;8688;19952;
HS;1000;1545;3985;

IS;1000;999;1998;
MS;1000;4932;19952;
HS;1000;998;3976;

IS;1000;499471;501265;
MS;1000;5137;19952;
HS;1000;1005;3990;

IS;100;2735;2839;
MS;100;538;1344;
